企業名,クライアント名,商品名,カテゴリー,URL,配信ステータス,配信目的
ライオン株式会社,クリニカハミガキ,クリニカフロス,日用品,https://www.tiktok.com/@tobuy_desu/video/7374972936429538568?is_from_webapp=1&sender_device=pc&web_id=7225545027098772993,配信中,動画視聴
株式会社キングジム,KING JIM,ぬいぐるみ,日用品,https://www.tiktok.com/@tobuy_z/video/7374984114400709904,配信中,動画視聴
株式会社キングジム,KING JIM,ぬいぐるみ,日用品,https://www.tiktok.com/@tobuy_z/video/7374984114400709904,配信中,動画視聴
株式会社キングジム,KING JIM,ぬいぐるみ,日用品,,,動画視聴とリーチ
株式会社ファンケル,ファンケル,マイルドクレンジングオイル,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7373506716144635143,配信中,動画視聴
株式会社ファンケル,ファンケル,マイルドクレンジングオイル,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7373506716144635143,配信中,リーチ
株式会社ファンケル,ファンケル,マイルドクレンジングオイル,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7373506716144635143,配信中,リーチ
株式会社ファンケル,ファンケル,マイルドクレンジングオイル,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7373506716144635143,配信中,動画視聴とリーチ
JNTLコンシューマーヘルス株式会社,ドクターシーラボ,VC100,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7372028196612492551,配信中,動画視聴
JNTLコンシューマーヘルス株式会社,ドクターシーラボ,VC100,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7372028196612492551,配信中,動画視聴
JNTLコンシューマーヘルス株式会社,ドクターシーラボ,VC100,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7372028196612492551,配信中,動画視聴
JNTLコンシューマーヘルス株式会社,ドクターシーラボ,VC100,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7372028196612492551,配信中,動画視聴とリーチ
花王株式会社,キュレル,顔からだUV,日用品,https://www.tiktok.com/@tobuy_desu/video/7376117818321882386,配信中,動画視聴
花王株式会社,キュレル,顔からだUV,日用品,https://www.tiktok.com/@tobuy_desu/video/7376117818321882386,配信中,リーチ
花王株式会社,キュレル,顔からだUV,日用品,https://www.tiktok.com/@tobuy_desu/video/7376117818321882386,配信中,動画視聴とリーチ
花王株式会社,IROKA,柔軟剤,日用品,https://www.tiktok.com/@tobuy_desu/video/7369416323073412359,配信中,動画視聴
花王株式会社,IROKA,柔軟剤,日用品,https://www.tiktok.com/@tobuy_desu/video/7369416323073412359,配信中,動画視聴
